hpcd,mdc2,value
20034,5,8927
31341,5,7590
2993,2,6936
30012,5,6834
30465,5,6677
30127,6,6423
20108,6,6037
20043,6,6009
20052,6,5786
20112,5,5717
20040,6,5668
30120,6,5641
10024,6,5488
20123,6,5339
30120,5,5267
10013,6,5254
20078,6,5099
10031,6,5000
10056,6,4982
30364,6,4910
30883,6,4892
10075,6,4860
10055,6,4662
10048,6,4593
20044,6,4583
20057,5,4550
2905,2,4522
10047,6,4514
10058,6,4406
10046,6,4380
10025,6,4372
10066,6,4371
20122,6,4370
10023,6,4366
30547,6,4335
30281,6,4289
1573,6,4201
20003,6,4193
20036,6,4175
20146,6,4139
10033,6,4129
30914,6,4127
20134,5,4101
30030,6,4100
10026,6,4048
30339,5,4021
20123,5,4020
20127,6,3994
30005,6,3961
943,6,3954
30915,6,3910
20023,6,3909
20076,6,3904
20030,6,3885
1797,6,3875
31157,6,3861
1323,2,3809
30249,5,3788
20012,6,3782
20060,5,3782
20117,6,3778
10012,6,3769
20024,6,3753
20081,6,3752
20085,6,3749
20079,6,3725
30538,6,3724
20047,6,3722
3117,6,3711
10020,6,3707
10061,6,3696
20137,6,3695
31447,5,3693
30763,6,3687
2795,2,3671
10022,6,3660
10019,6,3644
10005,6,3640
20083,6,3624
10034,6,3602
20053,6,3599
3082,2,3592
20048,6,3583
20114,6,3575
30373,6,3566
10035,6,3542
2744,6,3540
30387,6,3540
10028,6,3509
2491,6,3505
20026,6,3482
1801,2,3442
10021,6,3440
31138,5,3440
20008,6,3420
3347,2,3417
10045,6,3395
20041,6,3377
20106,6,3375
10065,6,3373
20151,6,3363
30488,5,3349
10007,6,3339
30796,6,3336
10078,6,3334
10018,6,3323
20152,6,3321
20061,6,3285
30788,6,3285
30533,6,3274
10072,6,3270
20055,6,3268
10029,6,3267
30231,6,3264
10032,6,3260
20128,6,3219
20138,6,3202
30835,6,3200
31050,5,3182
20055,5,3180
10067,6,3174
20102,6,3173
20152,5,3171
30919,6,3162
31395,12,3161
20022,5,3155
20050,6,3153
10053,6,3134
30330,6,3133
20082,6,3129
90192,5,3117
20011,6,3114
20086,6,3107
30172,6,3088
20006,6,3087
20089,6,3071
20010,6,3064
20129,6,3063
30983,6,3057
30865,6,3053
30044,6,3047
20115,6,3033
30883,2,3031
20022,6,3030
20021,6,3029
30062,6,3021
10054,6,3011
10016,6,3009
30235,6,3001
20075,6,2993
10052,6,2991
20016,6,2972
20104,6,2970
31179,6,2968
20111,6,2963
20038,6,2962
30640,6,2958
10077,6,2956
20057,6,2953
90195,5,2953
20119,6,2952
20031,6,2951
20066,6,2939
30169,6,2938
30797,6,2927
90100,6,2920
20139,5,2914
10020,2,2910
20088,6,2904
30454,6,2898
20115,5,2897
20094,6,2869
30992,6,2869
31287,6,2868
30038,6,2866
30051,6,2862
10001,6,2855
10046,5,2848
20063,6,2848
10029,2,2843
31464,6,2839
10059,6,2837
30482,14,2833
30790,6,2832
20149,6,2817
10057,6,2814
30570,6,2807
20080,5,2805
31445,6,2801
336,5,2790
20134,6,2788
2800,2,2786
30732,5,2785
31294,6,2785
1395,6,2782
1345,4,2777
30120,4,2774
31186,6,2774
10043,6,2770
31008,6,2768
20144,6,2763
20054,6,2758
30439,6,2757
31071,4,2756
30765,6,2746
30488,6,2745
10068,6,2744
20098,6,2728
10060,6,2727
30515,6,2725
20073,6,2721
20028,6,2720
10024,5,2711
2698,2,2699
20077,6,2693
31344,6,2692
31028,6,2685
20064,6,2683
31293,6,2683
30567,6,2679
31296,6,2677
31301,6,2677
20097,6,2675
30326,6,2674
10002,6,2672
20121,6,2664
30284,6,2658
30641,6,2655
30176,6,2652
30883,5,2650
10064,6,2647
20074,6,2647
30122,6,2647
30667,6,2646
20126,6,2644
10021,5,2635
10033,2,2630
2658,2,2627
20127,5,2623
20072,6,2622
20147,6,2622
20076,5,2617
27,1,2614
20052,4,2610
31468,5,2607
20027,6,2605
30006,4,2600
10049,6,2594
31142,2,2589
31123,6,2585
10081,6,2576
20015,6,2575
20009,6,2568
20130,6,2568
10058,2,2562
20019,6,2560
30112,6,2558
30305,6,2553
20024,2,2549
31142,12,2549
30071,6,2548
1211,6,2544
20109,6,2544
31162,6,2538
30993,6,2536
31403,6,2536
20100,6,2534
30758,6,2528
20124,6,2524
20025,5,2520
1839,2,2511
20060,6,2510
31404,6,2509
30499,6,2505
10038,6,2501
90116,5,2501
10039,6,2499
10010,6,2498
10006,6,2497
20004,6,2496
30013,6,2490
31120,6,2490
20154,5,2487
20090,6,2485
20092,6,2484
31192,6,2482
30136,6,2479
31485,6,2479
1672,5,2476
10062,6,2474
20140,6,2474
30664,6,2472
30976,6,2472
30783,6,2467
10005,5,2465
10042,6,2465
20155,6,2460
30356,6,2456
20037,6,2455
20136,6,2455
30514,6,2454
31147,6,2453
31200,6,2450
20059,6,2449
30661,6,2446
20083,5,2444
20150,6,2440
30894,14,2440
10027,6,2438
30226,6,2438
2296,2,2437
